Origin,Type,Petitions
Supreme Court of Georgia,State/Other,4
Supreme Court of Idaho,State/Other,4
Supreme Court of Illinois,State/Other,4
Supreme Court of Kentucky,State/Other,4
Supreme Court of Michigan,State/Other,4
Supreme Court of South Carolina,State/Other,4
Supreme Judicial Court of Massachusetts,State/Other,4
App. Div. - Supreme Court of New York - Second Judicial Dept.,State/Other,3
Court of Appeals of Arizona - Div. Two,State/Other,3
Court of Appeals of Nevada,State/Other,3
Court of Appeals of North Carolina,State/Other,3
Court of Appeals of Texas - Fourteenth Dist.,State/Other,3
Court of Appeals of Texas - Second Dist.,State/Other,3
Court of Appeals of Texas - Seventh Dist.,State/Other,3
Court of Appeals of Texas - Twelfth Dist.,State/Other,3
Court of Appeals of Wisconsin - Dist. I,State/Other,3
Supreme Court of Arkansas,State/Other,3
Supreme Court of New Jersey,State/Other,3
Supreme Court of Rhode Island,State/Other,3
Supreme Court of Vermont,State/Other,3
App. Court of Illinois - Third Dist.,State/Other,2
