Origin,Type,Petitions
App. Court of Illinois - Third Dist.,State/Other,2
Commonwealth Court of Pennsylvania,State/Other,2
Court of Appeal of Louisiana - Third Circuit,State/Other,2
Court of Appeals of Kansas,State/Other,2
Court of Appeals of Nebraska,State/Other,2
Court of Appeals of Tennessee - Eastern Div.,State/Other,2
Court of Appeals of Texas - Third Dist.,State/Other,2
Court of Appeals of Utah,State/Other,2
Court of Appeals of Wisconsin - Dist. IV,State/Other,2
Superior Court of Rhode Island - Providence County,State/Other,2
Supreme Court of Alaska,State/Other,2
Supreme Court of Hawaii,State/Other,2
Supreme Court of Indiana,State/Other,2
Supreme Court of Minnesota,State/Other,2
Supreme Court of Pennsylvania - Eastern Dist.,State/Other,2
Supreme Court of Puerto Rico,State/Other,2
Supreme Court of South Dakota,State/Other,2
Supreme Court of Wisconsin,State/Other,2
38th Judicial Dist. Court of Louisiana - Cameron Parish,State/Other,1
App. Court of Connecticut,State/Other,1
App. Court of Illinois - Fifth Dist.,State/Other,1
