Case,Docket,Attorney,Time Speaking,Total Words
Watson v. RNC,24-1260,D. John Sauer,6.37,1293
Watson v. RNC,24-1260,Paul D. Clement,32.9,6403
Watson v. RNC,24-1260,Scott G. Stewart,26.43,5797
Pitchford v. Cain,24-7351,Emily M. Ferguson,7.46,1320
Pitchford v. Cain,24-7351,Joseph J. Perkovich,26.57,4298
Pitchford v. Cain,24-7351,Scott G. Stewart,14.86,3275
Flowers Foods, Inc. v. Brock,24-935,Jennifer D. Bennett,23.72,4256
Flowers Foods, Inc. v. Brock,24-935,Traci L. Lovitt,19.1,3392
Trump v. Barbara,25-365,Cecillia D. Wang,30.75,4861
Trump v. Barbara,25-365,D. John Sauer,36.4,7578
Mullin, Sec. of Homeland v. Al Otro Lado,25-5,Kelsi B. Corkran,20.92,4147
Mullin, Sec. of Homeland v. Al Otro Lado,25-5,Vivek Suri,18.96,3302
Abouammo v. United States,25-5146,Anthony A. Yang,22.1,4173
Abouammo v. United States,25-5146,Tobias S. Loss-Eaton,25.16,4674
Keathley v. Buddy Ayers Construction, Inc.,25-6,Frederick Liu,8.65,1437
Keathley v. Buddy Ayers Construction, Inc.,25-6,Gregory G. Garre,19.02,3476
Keathley v. Buddy Ayers Construction, Inc.,25-6,William M. Jay,15.17,2803
Jules v. Andre Balazs Properties,25-83,Adam G. Unikowsky,21.25,4468
Jules v. Andre Balazs Properties,25-83,Daniel L. Geyser,13.91,2763
